,oxide,directory,pos_file,energy
0,moo3,H0,moo3_bulk_opt.vasp,0
1,moo3,H1,bulk_09_opt.vasp,-0.131448550000035
2,moo3,H1,bulk_10_opt.vasp,-0.131357269999986
3,moo3,H1,bulk_11_opt.vasp,-0.131254370000041
4,moo3,H1,bulk_12_opt.vasp,-0.131244629999988
5,moo3,H1,bulk_13_opt.vasp,-0.131434990000022
6,moo3,H1,bulk_14_opt.vasp,-0.131399629999995
7,moo3,H1,bulk_15_opt.vasp,-0.131455089999994
8,moo3,H1,bulk_16_opt.vasp,-0.131460109999997
9,moo3,H1,bulk_17_opt.vasp,-0.481563660000025
10,moo3,H1,bulk_18_opt.vasp,-0.481748170000022
11,moo3,H1,bulk_19_opt.vasp,-0.481317960000032
12,moo3,H1,bulk_20_opt.vasp,-0.480785369999997
13,moo3,H1,bulk_21_opt.vasp,-0.481724070000003
14,moo3,H1,bulk_22_opt.vasp,-0.481520580000014
15,moo3,H1,bulk_23_opt.vasp,-0.481248960000035
16,moo3,H1,bulk_24_opt.vasp,-0.481298999999998
17,moo3,H1,bulk_25_opt.vasp,-0.205251690000031
18,moo3,H1,bulk_26_opt.vasp,-0.205457410000027
19,moo3,H1,bulk_27_opt.vasp,-0.208316350000037
20,moo3,H1,bulk_28_opt.vasp,-0.208286979999988
21,moo3,H1,bulk_29_opt.vasp,-0.205579140000017
22,moo3,H1,bulk_30_opt.vasp,-0.206115099999996
23,moo3,H1,bulk_31_opt.vasp,-0.208354940000012
24,moo3,H1,bulk_32_opt.vasp,-0.208153929999999
25,moo3,H2,bulk_18_09_opt.vasp,-0.453394860000041
26,moo3,H2,bulk_18_10_opt.vasp,-0.50728546000003
27,moo3,H2,bulk_18_11_opt.vasp,-0.694557230000025
28,moo3,H2,bulk_18_12_opt.vasp,-0.533584100000023
29,moo3,H2,bulk_18_13_opt.vasp,-0.587393020000017
30,moo3,H2,bulk_18_14_opt.vasp,-0.571073929999993
31,moo3,H2,bulk_18_15_opt.vasp,-0.591314359999994
32,moo3,H2,bulk_18_16_opt.vasp,-0.583018740000038
33,moo3,H2,bulk_18_17_opt.vasp,-0.929265130000014
34,moo3,H2,bulk_18_19_opt.vasp,-0.937510200000001
35,moo3,H2,bulk_18_20_opt.vasp,-0.936545010000013
36,moo3,H2,bulk_18_21_opt.vasp,-0.870871590000017
37,moo3,H2,bulk_18_22_opt.vasp,-0.872246090000014
38,moo3,H2,bulk_18_23_opt.vasp,-0.881555440000038
39,moo3,H2,bulk_18_24_opt.vasp,-0.870380709999988
40,moo3,H2,bulk_18_25_opt.vasp,-0.711088450000015
41,moo3,H2,bulk_18_26_opt.vasp,-0.281083290000008
42,moo3,H2,bulk_18_27_opt.vasp,-0.676009180000032
43,moo3,H2,bulk_18_28_opt.vasp,-0.571955120000022
44,moo3,H2,bulk_18_29_opt.vasp,-0.683948190000005
45,moo3,H2,bulk_18_30_opt.vasp,-0.67815324000001
46,moo3,H2,bulk_18_31_opt.vasp,-0.694954169999998
47,moo3,H2,bulk_18_32_opt.vasp,-0.602876619999999
48,moo3,H3,bulk_18_19_09_opt.vasp,-0.677621009999996
49,moo3,H3,bulk_18_19_10_opt.vasp,-0.704068660000019
50,moo3,H3,bulk_18_19_11_opt.vasp,-0.774716380000029
51,moo3,H3,bulk_18_19_12_opt.vasp,-0.760032819999992
52,moo3,H3,bulk_18_19_13_opt.vasp,-1.05187173000002
53,moo3,H3,bulk_18_19_14_opt.vasp,-1.03027641
54,moo3,H3,bulk_18_19_15_opt.vasp,-1.03038291000001
55,moo3,H3,bulk_18_19_16_opt.vasp,-1.03934330999999
56,moo3,H3,bulk_18_19_17_opt.vasp,-1.32496676
57,moo3,H3,bulk_18_19_20_opt.vasp,-1.3254187
58,moo3,H3,bulk_18_19_21_opt.vasp,-1.27885137000004
59,moo3,H3,bulk_18_19_22_opt.vasp,-1.28604755999999
60,moo3,H3,bulk_18_19_23_opt.vasp,-1.28254895999999
61,moo3,H3,bulk_18_19_24_opt.vasp,-1.27635371000002
62,moo3,H3,bulk_18_19_25_opt.vasp,-1.01943972999999
63,moo3,H3,bulk_18_19_26_opt.vasp,-0.692333759999997
64,moo3,H3,bulk_18_19_27_opt.vasp,-0.69648921999999
65,moo3,H3,bulk_18_19_28_opt.vasp,-0.906932830000017
66,moo3,H3,bulk_18_19_29_opt.vasp,-1.06442552999999
67,moo3,H3,bulk_18_19_30_opt.vasp,-1.05854971000002
68,moo3,H3,bulk_18_19_31_opt.vasp,-1.00465008000003
69,moo3,H3,bulk_18_19_32_opt.vasp,-1.00478966000003
70,moo3,H4,bulk_18_19_20_09_opt.vasp,-0.931481400000015
71,moo3,H4,bulk_18_19_20_10_opt.vasp,-0.753302670000002
72,moo3,H4,bulk_18_19_20_11_opt.vasp,-0.986372410000021
73,moo3,H4,bulk_18_19_20_12_opt.vasp,-0.887195079999989
74,moo3,H4,bulk_18_19_20_13_opt.vasp,-1.41966250000004
75,moo3,H4,bulk_18_19_20_14_opt.vasp,-1.40898215000001
76,moo3,H4,bulk_18_19_20_15_opt.vasp,-1.40987689999999
77,moo3,H4,bulk_18_19_20_16_opt.vasp,-1.40820695000004
78,moo3,H4,bulk_18_19_20_17_opt.vasp,-1.51710704
79,moo3,H4,bulk_18_19_20_21_opt.vasp,-1.66049444
80,moo3,H4,bulk_18_19_20_22_opt.vasp,-1.65882056
81,moo3,H4,bulk_18_19_20_23_opt.vasp,-1.65758644000001
82,moo3,H4,bulk_18_19_20_24_opt.vasp,-1.65619327000004
83,moo3,H4,bulk_18_19_20_25_opt.vasp,-1.24587641000001
84,moo3,H4,bulk_18_19_20_26_opt.vasp,-1.00540617999999
85,moo3,H4,bulk_18_19_20_27_opt.vasp,-1.02821487000002
86,moo3,H4,bulk_18_19_20_28_opt.vasp,-1.00465257000004
87,moo3,H4,bulk_18_19_20_29_opt.vasp,-1.37638576000002
88,moo3,H4,bulk_18_19_20_30_opt.vasp,-1.37428106000001
89,moo3,H4,bulk_18_19_20_31_opt.vasp,-1.32650532999999
90,moo3,H4,bulk_18_19_20_32_opt.vasp,-1.33316523999999
91,tio2,H0,tio2_bulk_opt.vasp,0
92,tio2,H1,bulk_09_opt.vasp,0.290639640000004
93,tio2,H1,bulk_10_opt.vasp,0.290570909999995
94,tio2,H1,bulk_13_opt.vasp,0.447897490000012
